6557.58	-1.77624E-6
6557.67	-1.77624E-6
6557.76	0.00119
6557.86	5.95436E-4
6557.95	5.95436E-4
6558.05	0.00298
6558.14	0.00358
6558.23	0.00358
6558.33	0.00597
6558.42	0.00657
6558.52	0.00776
6558.61	0.00776
6558.7	0.00955
6558.8	0.01314
6558.89	0.01373
6558.99	0.01732
6559.08	0.01971
6559.17	0.02568
6559.27	0.02448
6559.36	0.03284
6559.46	0.03703
6559.55	0.04718
6559.65	0.05255
6559.74	0.0633
6559.83	0.07883
6559.93	0.10391
6560.02	0.13975
6560.12	0.1923
6560.21	0.28129
6560.3	0.39177
6560.4	0.49867
6560.49	0.59841
6560.59	0.6426
6560.68	0.59602
6560.77	0.47896
6560.87	0.36191
6560.96	0.29442
6561.06	0.28188
6561.15	0.3219
6561.24	0.38878
6561.34	0.47777
6561.43	0.56914
6561.53	0.62827
6561.62	0.6217
6561.72	0.49927
6561.81	0.34877
6561.9	0.2365
6562	0.16841
6562.09	0.12362
6562.19	0.10391
6562.28	0.08898
6562.37	0.08182
6562.47	0.06927
6562.56	0.05972
6562.66	0.05434
6562.75	0.04539
6562.84	0.03882
6562.94	0.03822
6563.03	0.03643
6563.13	0.03762
6563.22	0.03941
6563.31	0.04061
6563.41	0.03762
6563.5	0.03165
6563.6	0.02687
6563.69	0.01971
6563.78	0.01314
6563.88	0.00955
6563.97	0.00776
6564.07	0.00657
6564.16	0.00537
6564.26	0.00418
6564.35	0.00239
6564.44	0.00239
6564.54	0.00119
6564.63	5.95436E-4
6564.73	-1.77624E-6
6564.82	-1.77624E-6
6564.91	0.00119
6565.01	-5.98989E-4
6565.1	-5.98989E-4
6565.2	-5.98989E-4
6565.29	-5.98989E-4
6565.38	-5.98989E-4
6565.48	-0.0012
